               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.01948,            0.012128,                   0,             0.87899,             0.88612,               0.896,             0.56556,            0.030877,           0.0075125,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018894,            0.012151,                   0,             0.92698,             0.85836,             0.90076,             0.54403,            0.032812,            0.007755,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018423,            0.012296,                   0,             0.89848,             0.85409,             0.89717,             0.55979,            0.032502,           0.0074544,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018469,            0.012091,                   0,             0.89873,             0.85765,             0.87487,             0.56076,             0.03023,           0.0074706,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018893,              0.0123,                   0,             0.92522,             0.86121,             0.89336,             0.53642,            0.031701,             0.00774,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.017739,            0.011232,                   0,             0.91622,             0.85618,             0.89308,             0.55244,            0.031772,           0.0074339,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.017668,            0.011667,                   0,             0.88225,             0.89324,             0.90345,             0.55712,            0.030737,           0.0075081,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018521,            0.011636,                   0,             0.89727,             0.85053,             0.89809,             0.56137,             0.02973,           0.0075198,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.018143,            0.011462,                   0,              0.9045,             0.84261,             0.89384,             0.56481,            0.030823,           0.0076311,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.017562,            0.011661,                   0,             0.87963,             0.85819,             0.89513,             0.56613,            0.030767,           0.0080991,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.016783,            0.011537,                   0,             0.92406,             0.82277,             0.89568,             0.55398,             0.03082,           0.0075064,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.016974,            0.011138,                   0,             0.88495,             0.87591,             0.91037,             0.57446,            0.029804,           0.0074209,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.016726,            0.011267,                   0,             0.90768,              0.8397,             0.87035,             0.54142,            0.031443,           0.0079591,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.016881,            0.011791,                   0,              0.9294,             0.82206,             0.87917,               0.559,            0.031181,           0.0073176,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.016432,            0.011311,                   0,             0.92012,             0.81982,             0.87559,             0.56896,            0.031979,           0.0073971,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.017865,            0.011679,                   0,             0.93658,             0.86121,             0.91238,             0.58807,            0.029762,           0.0073472,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.016762,            0.011314,                   0,             0.93258,             0.85053,             0.89561,             0.57404,            0.030619,           0.0073385,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.016299,             0.01096,                   0,             0.94255,             0.87571,             0.92432,             0.59716,            0.028796,            0.007267,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.016225,            0.011034,                   0,             0.91789,             0.82918,             0.88332,             0.57304,            0.031658,           0.0074221,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.016535,            0.010659,                   0,             0.93655,             0.84049,             0.88889,             0.56753,            0.031823,           0.0076756,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.016409,             0.01132,                   0,             0.86202,             0.86708,             0.88861,             0.56202,            0.032922,           0.0076307,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.016271,            0.010844,                   0,             0.93356,             0.86477,              0.9007,             0.59538,             0.03027,           0.0074389,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016344,            0.010653,                   0,             0.92027,             0.84698,             0.89125,             0.57715,            0.030678,           0.0076571,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.016121,            0.011218,                   0,             0.92019,             0.86169,             0.88573,                0.57,             0.03017,           0.0075293,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.015455,            0.010592,                   0,             0.91038,             0.86833,             0.88439,             0.58107,             0.02952,           0.0077175,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.015786,            0.010689,                   0,             0.88742,             0.82562,             0.87194,             0.57181,            0.032143,           0.0080163,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.015746,             0.01044,                   0,             0.91043,             0.85765,             0.87329,             0.55452,            0.030321,           0.0080978,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.015106,            0.010226,                   0,             0.91125,             0.86121,             0.89765,             0.57417,            0.029689,           0.0081108,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.01491,            0.010431,                   0,             0.92956,             0.88612,             0.91649,             0.58287,            0.029412,           0.0074787,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.014593,            0.010426,                   0,             0.91531,             0.84621,             0.89112,             0.56922,            0.031062,           0.0080482,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.014598,             0.01003,                   0,             0.87033,             0.86121,             0.89094,             0.57518,            0.030083,           0.0080398,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.014357,            0.010154,                   0,             0.89945,              0.8277,             0.87542,             0.56899,            0.031217,           0.0079711,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.015382,            0.010205,                   0,              0.9264,              0.8363,             0.90216,             0.58975,            0.029633,           0.0078541,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014154,            0.010285,                   0,             0.89717,             0.85053,             0.88898,              0.5843,            0.030645,            0.007758,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.014766,           0.0099101,                   0,             0.88189,             0.83986,             0.87651,             0.57499,            0.030519,           0.0079907,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.013852,           0.0099747,                   0,             0.89455,             0.84528,             0.87172,             0.56265,            0.030353,           0.0078057,                   0,            0.002872,            0.002872,            0.002872
                  74,               0.014,           0.0098865,                   0,             0.90776,             0.84059,             0.87312,             0.57192,            0.031431,           0.0080259,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.013329,           0.0097014,                   0,             0.90334,             0.85053,             0.88025,             0.58347,            0.031482,           0.0078795,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.014056,           0.0099019,                   0,             0.89103,             0.84386,             0.86972,             0.57448,            0.030845,           0.0078717,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.014124,           0.0099665,                   0,             0.86585,             0.86121,             0.87889,             0.58882,            0.030199,           0.0078112,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.014631,            0.010092,                   0,              0.9067,             0.85053,             0.89262,             0.59298,            0.030306,           0.0078637,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.013958,            0.010181,                   0,             0.93419,             0.85876,             0.88578,             0.56555,            0.031449,            0.007915,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.012954,           0.0093922,                   0,             0.93287,             0.86121,             0.89849,             0.58334,            0.029476,           0.0080789,                   0,            0.002179,            0.002179,            0.002179
